hemisphere,region,F,pval
lh,bankssts,0.5834770866823016,0.4459153291275584
lh,caudalanteriorcingulate,0.30094750766767125,0.5839433861603538
lh,caudalmiddlefrontal,0.03675531829310203,0.8481720868254772
lh,cuneus,1.8539197503692242,0.17496639281098755
lh,entorhinal,0.3052144989363008,0.5812914467859038
lh,fusiform,1.5435712872019145,0.21564275921054338
lh,inferiorparietal,5.00351200569666,0.026477115391848854
lh,inferiortemporal,2.380438548357275,0.12455359987088441
lh,isthmuscingulate,0.00014141638551299002,0.9905245677142053
lh,lateraloccipital,0.2143192169554601,0.6439411919111522
lh,lateralorbitofrontal,0.002045303156500858,0.9639762030378062
lh,lingual,1.5351510825230335,0.21689389101383244
lh,medialorbitofrontal,0.03652189329196957,0.8486490778331186
lh,middletemporal,2.0329645824610565,0.15558727383081583
lh,parahippocampal,1.696631092278604,0.1943310068934469
lh,paracentral,0.20999412708325926,0.6473040879052812
lh,parsopercularis,5.953314372052133,0.0156222054169465
lh,parsorbitalis,1.8788300362878794,0.17211017460867103
lh,parstriangularis,3.1008564777227523,0.07988562949979901
lh,pericalcarine,3.0664444299622557,0.08156374190988543
lh,postcentral,0.13564166066333763,0.7130693993478356
lh,posteriorcingulate,0.3823970987394904,0.5370755993580401
lh,precentral,0.07489881500631682,0.7846352991987247
lh,precuneus,0.12141070685792212,0.7279014362038946
lh,rostralanteriorcingulate,0.06910815296211308,0.7929291687961803
lh,rostralmiddlefrontal,0.31074639283141503,0.5778891850351399
lh,superiorfrontal,0.30245404889544575,0.5830042859729796
lh,superiorparietal,0.3115499316993025,0.5773982963571411
lh,superiortemporal,4.172141031160297,0.04249743918549705
lh,supramarginal,0.06044944759857849,0.8060566205224712
lh,frontalpole,0.008138570779609862,0.9282136916393104
lh,temporalpole,0.014136085952864624,0.905485951399706
lh,transversetemporal,0.8530611813282986,0.3568780098917691
lh,insula,0.3792963434845332,0.5387289520301887
lh,WhiteSurfArea,0.5894215736779,0.4436112139561179
lh,BrainSegVolNotVent,0.4356200829843908,0.510056176064013
lh,eTIV,2.235830516110362,0.13652980969403355
rh,bankssts,4.07176857123683,0.0450348068316706
rh,caudalanteriorcingulate,1.4874419294471066,0.2241497871688467
rh,caudalmiddlefrontal,0.2545668121375547,0.6144716518868225
rh,cuneus,2.44814695430914,0.11935437881219543
rh,entorhinal,2.7654421740358903,0.09799518651512695
rh,fusiform,1.4795697180351075,0.2253749635932465
rh,inferiorparietal,1.108322385299851,0.29380535205413244
rh,inferiortemporal,0.030989226779737172,0.8604549141385429
rh,isthmuscingulate,0.03282179788432415,0.8564320205430578
rh,lateraloccipital,3.5667899163385144,0.06049430093766531
rh,lateralorbitofrontal,0.18758490239412115,0.6654334754374672
rh,lingual,3.0536396765831086,0.08219792151449533
rh,medialorbitofrontal,0.2943012050576022,0.588123242871051
rh,middletemporal,1.575527981506251,0.2109723284149795
rh,parahippocampal,0.8159342392343575,0.36753370010512365
rh,paracentral,2.0476936614515893,0.1541059537433232
rh,parsopercularis,0.9631969533741295,0.32765075176586855
rh,parsorbitalis,1.023555577403004,0.3129843557179755
rh,parstriangularis,1.676771658942272,0.19695047153596248
rh,pericalcarine,2.9520269972710076,0.08742510862212714
rh,postcentral,0.35765074636560334,0.5505374506953955
rh,posteriorcingulate,0.10872975196772379,0.741964026219818
rh,precentral,0.5702156954414551,0.45112322859837806
rh,precuneus,0.739729335456371,0.39084889918624
rh,rostralanteriorcingulate,0.43784017554299626,0.5089812868106485
rh,rostralmiddlefrontal,0.013214536515574079,0.9086045278042585
rh,superiorfrontal,0.009251725660353644,0.923475938198308
rh,superiorparietal,1.4276369793562678,0.23366367806274602
rh,superiortemporal,2.540216286337529,0.11266838607326488
rh,supramarginal,0.051698964519206046,0.8203812808634456
rh,frontalpole,0.8537740310175803,0.35667762627776056
rh,temporalpole,0.862257107616225,0.3543048650328189
rh,transversetemporal,1.3297278989496728,0.2503254538458219
rh,insula,0.11144990642558783,0.7388735038635125
rh,WhiteSurfArea,0.6577116123963758,0.4183999731032
rh,BrainSegVolNotVent,0.4356200829843908,0.510056176064013
rh,eTIV,2.235830516110362,0.13652980969403355
